from,to
512509477,294015135
512509477,2415900122
512509477,502251829
512509477,3394193014
512509477,863052332052996097
512509477,339842145
429383854,2923457273
429383854,2609247953
429383854,2167343042
429383854,126330386
429383854,207415700
429383854,979362314
429383854,502251829
502251829,36724337
502251829,1577196907
502251829,246262362
502251829,41389093
502251829,988518714
502251829,492590266
502251829,53252787
502251829,796008597268418560
502251829,765616804710539265
502251829,1339795584
502251829,1527639686
502251829,979362314
502251829,294015135
502251829,339842145
5120691,3239192692
3239192692,148517828
3239192692,370854566
3239192692,25098482
3239192692,94855785
3239192692,357994145
3239192692,172391256
3239192692,320256021
3239192692,811229675758505984
3239192692,203332110
3239192692,190162349
3239192692,377026626
3239192692,16544818
3239192692,214821759
312858567,3039999798
312858567,118105610
3039999798,25108596
3039999798,256573185
3039999798,190162349
3653063130,991724656821456896
3653063130,3668427437
3653063130,702211327721390081
991724656821456896,3611717843
991724656821456896,550418276
991724656821456896,707401649027948544
991724656821456896,715654996512129025
991724656821456896,702211327721390081
3668427437,2895002170
702211327721390081,3213781318
702211327721390081,2895002170
309032583,306974174
309032583,390860839
309032583,2653613168
309032583,206717989
306974174,2375223030
306974174,390860839
306974174,3064364092
306974174,473275711
306974174,4705261516
104227735,414682647
104227735,928432260
104227735,14159148
104227735,2923724679
104227735,148517828
104227735,3066095291
104227735,69231187
104227735,249677516
104227735,473275711
154298451,115444967
154298451,282827560
154298451,325544620
154298451,419144259
154298451,492590266
154298451,539992798
154298451,1150565706
154298451,339388611
154298451,113117134
154298451,225045155
154298451,35817651
154298451,148517477
154298451,256844667
115444967,111078632
115444967,84103629
115444967,1164185431
115444967,325544620
115444967,419144259
115444967,134823119
115444967,104227758
115444967,539992798
115444967,300453401
115444967,339388611
115444967,822013116
115444967,226763304
115444967,145506782
115444967,225045155
115444967,185263063
115444967,148517477
115444967,256844667
282827560,196131308
282827560,1577196907
282827560,246262362
282827560,41389093
282827560,988518714
282827560,24674765
282827560,492590266
282827560,53252787
282827560,249670742
282827560,1527639686
282827560,294015135
282827560,33569853
325544620,111078632
325544620,104227758
325544620,412461481
325544620,78927039
325544620,539992798
325544620,113117134
325544620,226763304
325544620,145506782
325544620,225045155
325544620,185263063
325544620,148517477
419144259,111078632
419144259,37252897
419144259,539992798
419144259,339388611
419144259,822013116
419144259,145506782
419144259,225045155
419144259,35817651
419144259,185263063
419144259,148517477
492590266,252268498
492590266,2609247953
492590266,24205556
492590266,1527639686
492590266,23248176
492590266,979362314
492590266,294015135
492590266,33569853
539992798,111078632
539992798,84103629
539992798,382196793
539992798,134823119
539992798,317216926
539992798,138842410
539992798,292744754
539992798,300453401
539992798,87540357
539992798,822013116
