from,to,group,arrows,smooth
570913139,612254136,Aid Transparency,to,1
226602721,13500732,Aid Transparency,to,1
226602721,1443780630,Aid Transparency,to,1
16433562,126644808,Aid Transparency,to,1
16433562,13500732,Aid Transparency,to,1
42669964,158680425,Aid Transparency,to,1
255123777,13500732,Aid Transparency,to,1
255123777,1443780630,Aid Transparency,to,1
20668629,77004828,Aid Transparency,to,1
20668629,7403862,Aid Transparency,to,1
20668629,13500732,Aid Transparency,to,1
285320418,76347918,Aid Transparency,to,1
122336037,555884495,Aid Transparency,to,1
20308111,158680425,Aid Transparency,to,1
61847800,76347918,Aid Transparency,to,1
61847800,158680425,Aid Transparency,to,1
893301,7403862,Aid Transparency,to,1
847708639662022656,32835701,Aid Transparency,to,1
57363819,206531402,Aid Transparency,to,1
1255061316,7403862,Aid Transparency,to,1
1255061316,69861082,Aid Transparency,to,1
1255061316,67710876,Aid Transparency,to,1
1255061316,54954134,Aid Transparency,to,1
1255061316,1520046284,Aid Transparency,to,1
1255061316,15046379,Aid Transparency,to,1
1255061316,209967385,Aid Transparency,to,1
1255061316,111019435,Aid Transparency,to,1
1255061316,27284203,Aid Transparency,to,1
1255061316,957450276,Aid Transparency,to,1
1255061316,1702057538,Aid Transparency,to,1
1255061316,1337150378,Aid Transparency,to,1
1255061316,77004828,Aid Transparency,to,1
1255061316,32833596,Aid Transparency,to,1
1255061316,784252669695135744,Aid Transparency,to,1
1255061316,29738360,Aid Transparency,to,1
1255061316,192137782,Aid Transparency,to,1
1255061316,1115086669,Aid Transparency,to,1
1255061316,3963960864,Aid Transparency,to,1
1255061316,21021784,Aid Transparency,to,1
1255061316,490164332,Aid Transparency,to,1
1255061316,285297111,Aid Transparency,to,1
1255061316,4155531,Aid Transparency,to,1
1255061316,1443780630,Aid Transparency,to,1
1255061316,13500732,Aid Transparency,to,1
224630490,368904270,Aid Transparency,to,1
242488617,7403862,Digit Government Transformation,to,1
1009753502,957450276,Digit Government Transformation,to,1
39713727,1443780630,Digit Government Transformation,to,1
39713727,4155531,Digit Government Transformation,to,1
39713727,17152983,Digit Government Transformation,to,1
39713727,1720801,Digit Government Transformation,to,1
39713727,5825162,Digit Government Transformation,to,1
39713727,369533,Digit Government Transformation,to,1
39713727,4881711,Digit Government Transformation,to,1
39713727,11494632,Digit Government Transformation,to,1
39713727,13500732,Digit Government Transformation,to,1
15056816,14413252,Digit Government Transformation,to,1
17053097,13500732,Digit Government Transformation,to,1
17053097,17152983,Digit Government Transformation,to,1
14727078,13500732,Digit Government Transformation,to,1
14727078,85600266,Digit Government Transformation,to,1
12177772,7403862,Digit Government Transformation,to,1
14360501,1337150378,Digit Government Transformation,to,1
14360501,13500732,Digit Government Transformation,to,1
1060653216,7403862,Digit Government Transformation,to,1
14091176,7403862,Digit Government Transformation,to,1
68686173,32835701,Digit Government Transformation,to,1
14164249,7403862,Digit Government Transformation,to,1
18897186,7403862,Digit Government Transformation,to,1
19528058,7403862,Digit Government Transformation,to,1
19528058,3405598630,Digit Government Transformation,to,1
19528058,17152983,Digit Government Transformation,to,1
118012929,7403862,Digit Government Transformation,to,1
23788480,7403862,Digit Government Transformation,to,1
20519922,10468292,Digit Government Transformation,to,1
761638264218542084,15509954,Digit Government Transformation,to,1
761638264218542084,14562685,Digit Government Transformation,to,1
37895085,7403862,Digit Government Transformation,to,1
2886122134,3302161923,Digit Government Transformation,to,1
2886122134,7403862,Digit Government Transformation,to,1
1281419371,126644808,Digit Government Transformation,to,1
1281419371,7403862,Digit Government Transformation,to,1
1281419371,3302161923,Digit Government Transformation,to,1
2466453506,738735239795773440,Digit Government Transformation,to,1
2466453506,3302161923,Digit Government Transformation,to,1
55523059,7403862,Digit Government Transformation,to,1
55523059,76347918,Digit Government Transformation,to,1
55523059,27284203,Digit Government Transformation,to,1
396536542,7403862,Digit Government Transformation,to,1
14854533,7403862,Digit Government Transformation,to,1
146428363,3405598630,Digit Government Transformation,to,1
13486,7403862,Digit Government Transformation,to,1
21020637,2843184354,Digit Government Transformation,to,1
21020637,7403862,Digit Government Transformation,to,1
18725978,7403862,Digit Government Transformation,to,1
21283221,7403862,Digit Government Transformation,to,1
21283221,3405598630,Digit Government Transformation,to,1
724647542,15794668,Digit Government Transformation,to,1
724647542,439968816,Digit Government Transformation,to,1
16099079,7403862,Digit Government Transformation,to,1
16099079,104446364,Digit Government Transformation,to,1
16099079,13500732,Digit Government Transformation,to,1
28573040,1898447611,Digit Government Transformation,to,1
20757469,3714479178,Digit Government Transformation,to,1
20757469,856969871023890433,Digit Government Transformation,to,1
20757469,4334071758,Digit Government Transformation,to,1
1151136062128791554,7403862,Digit Government Transformation,to,1
388752038,612254136,Digit Government Transformation,to,1
388752038,1337150378,Digit Government Transformation,to,1
388752038,1001820818219782144,Digit Government Transformation,to,1
388752038,76347918,Digit Government Transformation,to,1
388752038,7403862,Digit Government Transformation,to,1
12223492,3405869686,Digit Government Transformation,to,1
12223492,285297111,Digit Government Transformation,to,1
12223492,1443780630,Digit Government Transformation,to,1
7526892,7403862,Digit Government Transformation,to,1
7526892,10468292,Digit Government Transformation,to,1
7526892,14562685,Digit Government Transformation,to,1
7526892,14239677,Digit Government Transformation,to,1
5664472,466927493,Digit Government Transformation,to,1
14717055,4155531,Digit Government Transformation,to,1
1246421,48171234,Digit Government Transformation,to,1
1246421,84509623,Digit Government Transformation,to,1
1246421,85600266,Digit Government Transformation,to,1
1246421,3212251,Digit Government Transformation,to,1
19626301,1023756819125039104,Digit Government Transformation,to,1
19626301,2897516897,Digit Government Transformation,to,1
19626301,77004828,Digit Government Transformation,to,1
19626301,4155531,Digit Government Transformation,to,1
847757344666791937,222206919,Digit Government Transformation,to,1
847757344666791937,7403862,Digit Government Transformation,to,1
847757344666791937,972017532382007296,Digit Government Transformation,to,1
199893073,7403862,Digit Government Transformation,to,1
199893073,147760413,Digit Government Transformation,to,1
199893073,14562685,Digit Government Transformation,to,1
199893073,3323911789,Digit Government Transformation,to,1
15996534,1337150378,Digit Government Transformation,to,1
14932460,7403862,Digit Government Transformation,to,1
14932460,3302161923,Digit Government Transformation,to,1
1664859288,5825162,Digit Government Transformation,to,1
1664859288,1443780630,Digit Government Transformation,to,1
1664859288,4155531,Digit Government Transformation,to,1
595978668,3302161923,Digit Government Transformation,to,1
29726352,856969871023890433,Digit Government Transformation,to,1
29726352,452688896,Digit Government Transformation,to,1
