from,to,weight,color,arrow,tweets,title,hub,width
502251829,7403862,2.0,red,to,"['1382738793673981952', '1306970304623898624']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,9.0,1.189207115002721
710200852804456448,9624742,1.0,blue,,,<p><br># of Mentions: 1</p>,10.0,1.0
710200852804456448,343890284,2.0,blue,,,<p><br># of Mentions: 2</p>,10.0,1.189207115002721
710200852804456448,280976134,65.0,blue,,,<p><br># of Mentions: 65</p>,10.0,2.8394115144336776
710200852804456448,20596281,1.0,blue,,,<p><br># of Mentions: 1</p>,10.0,1.0
710200852804456448,214102420,1.0,blue,,,<p><br># of Mentions: 1</p>,10.0,1.0
710200852804456448,157981564,40.0,blue,,,<p><br># of Mentions: 40</p>,10.0,2.514866859365871
710200852804456448,378231701,5.0,blue,,,<p><br># of Mentions: 5</p>,10.0,1.4953487812212205
710200852804456448,204698478,1.0,blue,,,<p><br># of Mentions: 1</p>,10.0,1.0
710200852804456448,1648317175,13.0,blue,,,<p><br># of Mentions: 13</p>,10.0,1.8988289221159416
710200852804456448,27860681,2.0,blue,,,<p><br># of Mentions: 2</p>,10.0,1.189207115002721
710200852804456448,321575853,2.0,blue,,,<p><br># of Mentions: 2</p>,10.0,1.189207115002721
321575853,7403862,9.0,red,to,"['1396802160462082050', '1395349613947891719', '1395346696058642433', '1395336543917780994', '1321059539815403521', '1320746267648135168', '1306966176971591680', '1258406402214805509', '1258381337859371008']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,10.0,1.7320508075688772
3308166147,22039274,51.0,blue,,,<p><br># of Mentions: 51</p>,11.0,2.6723451177837885
3308166147,183269426,1.0,blue,,,<p><br># of Mentions: 1</p>,11.0,1.0
3308166147,70993934,105.0,blue,,,<p><br># of Mentions: 105</p>,11.0,3.2010858729436795
3308166147,343890284,2.0,blue,,,<p><br># of Mentions: 2</p>,11.0,1.189207115002721
3308166147,20596281,5.0,blue,,,<p><br># of Mentions: 5</p>,11.0,1.4953487812212205
3308166147,2833858359,10.0,blue,,,<p><br># of Mentions: 10</p>,11.0,1.7782794100389228
3308166147,27860681,10.0,blue,,,<p><br># of Mentions: 10</p>,11.0,1.7782794100389228
3308166147,273730280,31.0,blue,,,<p><br># of Mentions: 31</p>,11.0,2.359611061770567
3308166147,921136833643401217,1.0,blue,,,<p><br># of Mentions: 1</p>,11.0,1.0
3308166147,321575853,1.0,blue,,,<p><br># of Mentions: 1</p>,11.0,1.0
3308166147,14353202,5.0,blue,,,<p><br># of Mentions: 5</p>,11.0,1.4953487812212205
3308166147,74703019,2.0,blue,,,<p><br># of Mentions: 2</p>,11.0,1.189207115002721
321575853,7403862,9.0,red,to,"['1396802160462082050', '1395349613947891719', '1395346696058642433', '1395336543917780994', '1321059539815403521', '1320746267648135168', '1306966176971591680', '1258406402214805509', '1258381337859371008']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,11.0,1.7320508075688772
2786900559,138467892,1.0,blue,,,<p><br># of Mentions: 1</p>,12.0,1.0
2786900559,20770862,14.0,blue,,,<p><br># of Mentions: 14</p>,12.0,1.9343364202676687
2786900559,362343279,2.0,blue,,,<p><br># of Mentions: 2</p>,12.0,1.189207115002721
2786900559,17105128,1.0,blue,,,<p><br># of Mentions: 1</p>,12.0,1.0
2786900559,107083701,1.0,blue,,,<p><br># of Mentions: 1</p>,12.0,1.0
2786900559,280976134,2.0,blue,,,<p><br># of Mentions: 2</p>,12.0,1.189207115002721
2786900559,2278865772,1.0,blue,,,<p><br># of Mentions: 1</p>,12.0,1.0
2786900559,157981564,34.0,blue,,,<p><br># of Mentions: 34</p>,12.0,2.414736402766418
2786900559,217422465,5.0,blue,,,<p><br># of Mentions: 5</p>,12.0,1.4953487812212205
2786900559,89785537,1.0,blue,,,<p><br># of Mentions: 1</p>,12.0,1.0
2786900559,321575853,1.0,blue,,,<p><br># of Mentions: 1</p>,12.0,1.0
2786900559,25390350,2.0,blue,,,<p><br># of Mentions: 2</p>,12.0,1.189207115002721
2786900559,258842582,1.0,blue,,,<p><br># of Mentions: 1</p>,12.0,1.0
2786900559,114487615,1.0,blue,,,<p><br># of Mentions: 1</p>,12.0,1.0
2786900559,2221206554,1.0,blue,,,<p><br># of Mentions: 1</p>,12.0,1.0
2786900559,1690612736,4.0,blue,,,<p><br># of Mentions: 4</p>,12.0,1.4142135623730951
362343279,7403862,1.0,red,to,['1277599795247529985'],<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,12.0,1.0
321575853,7403862,9.0,red,to,"['1396802160462082050', '1395349613947891719', '1395346696058642433', '1395336543917780994', '1321059539815403521', '1320746267648135168', '1306966176971591680', '1258406402214805509', '1258381337859371008']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,12.0,1.7320508075688772
258842582,7403862,2.0,red,to,"['1306966241127608320', '1288056300098772992']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,12.0,1.189207115002721
921136833643401217,193139845,4.0,blue,,,<p><br># of Mentions: 4</p>,13.0,1.4142135623730951
921136833643401217,20596281,191.0,blue,,,<p><br># of Mentions: 191</p>,13.0,3.7175630406336415
921136833643401217,3308166147,1.0,blue,,,<p><br># of Mentions: 1</p>,13.0,1.0
921136833643401217,96735431,5.0,blue,,,<p><br># of Mentions: 5</p>,13.0,1.4953487812212205
921136833643401217,27860681,4.0,blue,,,<p><br># of Mentions: 4</p>,13.0,1.4142135623730951
921136833643401217,36683668,1.0,blue,,,<p><br># of Mentions: 1</p>,13.0,1.0
921136833643401217,321575853,1.0,blue,,,<p><br># of Mentions: 1</p>,13.0,1.0
921136833643401217,25390350,1.0,blue,,,<p><br># of Mentions: 1</p>,13.0,1.0
921136833643401217,74703019,1.0,blue,,,<p><br># of Mentions: 1</p>,13.0,1.0
321575853,7403862,9.0,red,to,"['1396802160462082050', '1395349613947891719', '1395346696058642433', '1395336543917780994', '1321059539815403521', '1320746267648135168', '1306966176971591680', '1258406402214805509', '1258381337859371008']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,13.0,1.7320508075688772
22039274,197095948,4.0,blue,,,<p><br># of Mentions: 4</p>,14.0,1.4142135623730951
22039274,70993934,24.0,blue,,,<p><br># of Mentions: 24</p>,14.0,2.213363839400643
22039274,38689870,10.0,blue,,,<p><br># of Mentions: 10</p>,14.0,1.7782794100389228
22039274,14559745,1.0,blue,,,<p><br># of Mentions: 1</p>,14.0,1.0
22039274,362343279,1.0,blue,,,<p><br># of Mentions: 1</p>,14.0,1.0
22039274,343890284,124.0,blue,,,<p><br># of Mentions: 124</p>,14.0,3.3369939654815144
22039274,1214183951838826499,1.0,blue,,,<p><br># of Mentions: 1</p>,14.0,1.0
22039274,280976134,2.0,blue,,,<p><br># of Mentions: 2</p>,14.0,1.189207115002721
22039274,3308166147,51.0,blue,,,<p><br># of Mentions: 51</p>,14.0,2.6723451177837885
22039274,157981564,6.0,blue,,,<p><br># of Mentions: 6</p>,14.0,1.5650845800732869
22039274,1101527644116582405,17.0,blue,,,<p><br># of Mentions: 17</p>,14.0,2.0305431848689306
22039274,2833858359,8.0,blue,,,<p><br># of Mentions: 8</p>,14.0,1.681792830507429
22039274,217422465,2.0,blue,,,<p><br># of Mentions: 2</p>,14.0,1.189207115002721
22039274,27860681,2.0,blue,,,<p><br># of Mentions: 2</p>,14.0,1.189207115002721
22039274,273730280,1.0,blue,,,<p><br># of Mentions: 1</p>,14.0,1.0
22039274,36683668,3.0,blue,,,<p><br># of Mentions: 3</p>,14.0,1.3160740129524924
