from,to,group,arrows,smooth
34235577,3405598630,France Issue,to,1
34235577,1337150378,France Issue,to,1
34235577,4155531,France Issue,to,1
34235577,17227911,France Issue,to,1
34235577,77004828,France Issue,to,1
34235577,7403862,France Issue,to,1
2154663805,3405598630,France Issue,to,1
2154663805,1520046284,France Issue,to,1
2154663805,77004828,France Issue,to,1
2154663805,7403862,France Issue,to,1
2154663805,1337150378,France Issue,to,1
18741724,62942517,Central America Issue,to,1
240307539,4155531,Central America Issue,to,1
18151918,1443780630,Central America Issue,to,1
408237742,1337150378,Central America Issue,to,1
408237742,4155531,Central America Issue,to,1
419144259,368904270,Central America Issue,to,1
256844667,1301598149761470464,Central America Issue,to,1
84461823,62942517,Central America Issue,to,1
63801144,7403862,Central America Issue,to,1
12594872,38379127,US Aid,to,1
2795941059,1443780630,US Aid,to,1
1260176245,206531402,US Aid,to,1
64405754,974975358,US Aid,to,1
240348862,106520446,US Aid,to,1
56696814,65235102,US Aid,to,1
2471013583,974975358,US Aid,to,1
2666429088,974975358,US Aid,to,1
103874436,899265353007587331,US Aid,to,1
103874436,14831475,US Aid,to,1
36761621,27590168,US Aid,to,1
36761621,1026547953027215360,US Aid,to,1
36761621,976995099170062338,US Aid,to,1
36761621,155814794,US Aid,to,1
36761621,14978616,US Aid,to,1
36761621,106520446,US Aid,to,1
36761621,3266833092,US Aid,to,1
36761621,974975358,US Aid,to,1
36761621,514019413,US Aid,to,1
36761621,27284203,US Aid,to,1
36761621,56789832,US Aid,to,1
249677516,1128062653480308736,US Aid,to,1
949410954600763393,7403862,US Aid,to,1
1857099596,44842988,US Aid,to,1
1857099596,138109273,US Aid,to,1
14700316,3141755078,US Aid,to,1
14700316,459660480,US Aid,to,1
14700316,65235102,US Aid,to,1
14700316,365216346,US Aid,to,1
14700316,957450276,US Aid,to,1
14700316,899265353007587331,US Aid,to,1
14700316,169767749,US Aid,to,1
14700316,14831475,US Aid,to,1
14700316,111019435,US Aid,to,1
14700316,1935193196,US Aid,to,1
14700316,27284203,US Aid,to,1
18270066,27590168,US Aid,to,1
18270066,810684755272470528,US Aid,to,1
18270066,941709973943455744,US Aid,to,1
18270066,1238486433381281793,US Aid,to,1
18270066,3322810599,US Aid,to,1
18270066,265716304,US Aid,to,1
18270066,209967385,US Aid,to,1
18270066,138109273,US Aid,to,1
18270066,907068831125794816,US Aid,to,1
18270066,899265353007587331,US Aid,to,1
18270066,169767749,US Aid,to,1
18270066,2238051828,US Aid,to,1
18270066,334973670,US Aid,to,1
18270066,764123515,US Aid,to,1
18270066,1520046284,US Aid,to,1
18270066,183030408,US Aid,to,1
18270066,952755051491082240,US Aid,to,1
18270066,21021784,US Aid,to,1
18270066,365216346,US Aid,to,1
18270066,3295706113,US Aid,to,1
18270066,1166663467568259072,US Aid,to,1
18270066,27284203,US Aid,to,1
18270066,7389732,US Aid,to,1
18270066,1702057538,US Aid,to,1
18270066,111019435,US Aid,to,1
18270066,23574948,US Aid,to,1
18270066,76347918,US Aid,to,1
18270066,7403862,US Aid,to,1
18270066,155814794,US Aid,to,1
18270066,158680425,US Aid,to,1
18270066,56789832,US Aid,to,1
18270066,294171330,US Aid,to,1
18270066,1410398054,US Aid,to,1
18270066,134412727,US Aid,to,1
18270066,14831475,US Aid,to,1
18270066,344205908,US Aid,to,1
18270066,14540457,US Aid,to,1
18270066,104446364,US Aid,to,1
18270066,99930114,US Aid,to,1
18270066,26151374,US Aid,to,1
2488774495,1443780630,US Aid,to,1
249115261,864149304306421760,US Aid,to,1
3638422932,7139882,US Aid,to,1
3638422932,2373145729,US Aid,to,1
21114659,14540457,US Aid,to,1
17004618,265716304,US Aid,to,1
17004618,27590168,US Aid,to,1
17004618,1520046284,US Aid,to,1
17004618,76347918,US Aid,to,1
17004618,14540457,US Aid,to,1
252531143,27590168,US Aid,to,1
